Time,RSRP,RSRQ,RSSI,SINR Rx[0],SINR Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI
2017-11-27 14:12:34.60,-69.6,-9.7,-73.1,25.1,25.4,3/0,Application thrpt,103851,42612.8,73231.9,0
2017-11-27 14:12:34.430,-69.6,-9.7,-73.1,25.1,25.4,3/0,Application thrpt,103851,42612.8,73231.9,65135
2017-11-27 14:12:34.565,-71.8,-22.1,-81.6,24.1,24.4,3/0,Application thrpt,103851,42612.8,73231.9,65135
2017-11-27 14:12:35.50,-68.6,-24.8,-65.4,24.3,24.5,3/0,Application thrpt,103851,42612.8,73231.9,65135
2017-11-27 14:12:35.570,-70.8,-13.2,-73.6,25.1,25.9,3/0,Application thrpt,103851,42612.8,73231.9,65135
2017-11-27 14:12:36.55,-68.2,-24.3,-64.4,24.3,24.2,3/0,Application thrpt,103851,42612.8,73231.9,65135
2017-11-27 14:12:36.425,-68.2,-24.3,-64.4,24.3,24.2,3/0,Application thrpt,103851,42612.8,73231.9,117439
2017-11-27 14:12:36.610,-69.6,-22.6,-71.7,23.9,24.8,3/0,Application thrpt,103851,42612.8,73231.9,117439
2017-11-27 14:12:37.180,-68.8,-23.2,-69.2,24,24.3,3/0,Application thrpt,103851,42612.8,73231.9,117439
2017-11-27 14:12:37.645,-69.9,-9.9,-75,24.7,25.5,3/0,Application thrpt,103851,42612.8,73231.9,117439
2017-11-27 14:12:38.170,-68.5,-23.2,-67.8,23.6,24.2,3/0,Application thrpt,103851,42612.8,73231.9,117439
2017-11-27 14:12:38.430,-68.5,-23.2,-67.8,23.6,24.2,3/0,Application thrpt,103851,42612.8,73231.9,124168
2017-11-27 14:12:38.650,-69.3,-23.2,-71.4,23.4,24.4,3/0,Application thrpt,103851,42612.8,73231.9,124168
2017-11-27 14:12:39.180,-68.3,-10.6,-68.4,23.6,24.5,3/0,Application thrpt,103851,42612.8,73231.9,124168
2017-11-27 14:12:39.660,-68.7,-23.3,-69.5,22.1,23.6,3/0,Application thrpt,103851,42612.8,73231.9,124168
2017-11-27 14:12:40.175,-68,-23.5,-66.8,22.5,23.4,3/0,Application thrpt,103851,42612.8,73231.9,124168
